 Molecular Dynamics Program

 Number Of Particles   :          100
 Boxlength             :    5.0000000000000000     
 Density               :   0.80000000000000004     
 Temperature           :   0.50000000000000000     
 Cut-Off Radius        :    2.4999500000000001     
 Cut-Off Energy        :   -1.6318841245411584E-002
 Number Of Steps       :        50000
 Number Of Init Steps  :         5000
 Delta t               :    1.0000000000000000E-003
 Initial Energy        :    245316.72400150794     
 Final Energy          :   -240.12996283930053     

 Momentum X-Dir.        :   -4.6262993436130273E-013
 Momentum Y-Dir.        :    1.0137446437852304E-012
 Momentum Z-Dir.        :    1.2775891455873989E-013


 Step  TotalEnergy  KineticEnergy  PotentialEnergy  Temperature  Pressure
 8800  -0.44176E+03   0.74458E+02  -0.51622E+03   0.50140E+00  -0.87561E+00
 8850  -0.44176E+03   0.70819E+02  -0.51258E+03   0.47690E+00  -0.78176E+00
 8900  -0.44176E+03   0.78883E+02  -0.52065E+03   0.53120E+00  -0.11427E+01
 8950  -0.44176E+03   0.85011E+02  -0.52678E+03   0.57247E+00  -0.13623E+01
 9000  -0.44176E+03   0.78428E+02  -0.52019E+03   0.52814E+00  -0.11048E+01
 9050  -0.44176E+03   0.74236E+02  -0.51600E+03   0.49990E+00  -0.97470E+00
 9100  -0.44176E+03   0.71144E+02  -0.51291E+03   0.47908E+00  -0.87053E+00
 9150  -0.44176E+03   0.68567E+02  -0.51033E+03   0.46173E+00  -0.86200E+00
 9200  -0.44176E+03   0.83738E+02  -0.52550E+03   0.56389E+00  -0.15457E+01
 9250  -0.44176E+03   0.81085E+02  -0.52285E+03   0.54603E+00  -0.14643E+01
 9300  -0.44176E+03   0.76105E+02  -0.51787E+03   0.51249E+00  -0.12290E+01
 9350  -0.44176E+03   0.80783E+02  -0.52255E+03   0.54399E+00  -0.13627E+01
 9400  -0.44176E+03   0.76825E+02  -0.51859E+03   0.51734E+00  -0.11858E+01
 9450  -0.44176E+03   0.75330E+02  -0.51709E+03   0.50727E+00  -0.10937E+01
 9500  -0.44176E+03   0.75579E+02  -0.51734E+03   0.50895E+00  -0.10300E+01
 9550  -0.44176E+03   0.76051E+02  -0.51781E+03   0.51213E+00  -0.97294E+00
 9600  -0.44176E+03   0.78365E+02  -0.52013E+03   0.52771E+00  -0.10608E+01
 9650  -0.44176E+03   0.78698E+02  -0.52046E+03   0.52996E+00  -0.11419E+01
 9700  -0.44176E+03   0.83503E+02  -0.52527E+03   0.56231E+00  -0.14055E+01
 9750  -0.44176E+03   0.86864E+02  -0.52863E+03   0.58495E+00  -0.15931E+01
 9800  -0.44176E+03   0.86225E+02  -0.52799E+03   0.58064E+00  -0.15505E+01
 9850  -0.44176E+03   0.79359E+02  -0.52112E+03   0.53441E+00  -0.12205E+01
 9900  -0.44176E+03   0.69666E+02  -0.51143E+03   0.46913E+00  -0.85586E+00
 9950  -0.44176E+03   0.78650E+02  -0.52041E+03   0.52963E+00  -0.12192E+01
10000  -0.44176E+03   0.79617E+02  -0.52138E+03   0.53614E+00  -0.12518E+01
10050  -0.44176E+03   0.73951E+02  -0.51571E+03   0.49798E+00  -0.10163E+01
10100  -0.44176E+03   0.76437E+02  -0.51820E+03   0.51473E+00  -0.11014E+01
10150  -0.44176E+03   0.74395E+02  -0.51616E+03   0.50098E+00  -0.10169E+01
10200  -0.44176E+03   0.69733E+02  -0.51150E+03   0.46959E+00  -0.79949E+00
10250  -0.44176E+03   0.70652E+02  -0.51242E+03   0.47577E+00  -0.80088E+00
10300  -0.44176E+03   0.72084E+02  -0.51385E+03   0.48541E+00  -0.85537E+00
10350  -0.44176E+03   0.70743E+02  -0.51251E+03   0.47638E+00  -0.88020E+00
10400  -0.44176E+03   0.69947E+02  -0.51171E+03   0.47102E+00  -0.95631E+00
10450  -0.44176E+03   0.78931E+02  -0.52069E+03   0.53152E+00  -0.13772E+01
10500  -0.44176E+03   0.80389E+02  -0.52215E+03   0.54134E+00  -0.14383E+01
10550  -0.44176E+03   0.79831E+02  -0.52159E+03   0.53758E+00  -0.13750E+01
10600  -0.44176E+03   0.80232E+02  -0.52200E+03   0.54028E+00  -0.13366E+01
10650  -0.44176E+03   0.73088E+02  -0.51485E+03   0.49218E+00  -0.10178E+01
10700  -0.44176E+03   0.72274E+02  -0.51404E+03   0.48669E+00  -0.97056E+00
10750  -0.44176E+03   0.72649E+02  -0.51441E+03   0.48922E+00  -0.96820E+00
10800  -0.44176E+03   0.69505E+02  -0.51127E+03   0.46804E+00  -0.81462E+00
10850  -0.44176E+03   0.72736E+02  -0.51450E+03   0.48981E+00  -0.85548E+00
