BetaEpsilon,Calc_Avg_Val,Theo_Avg_Val,Relative_Error
4.800000000000001,0.00841,0.0082980378011265,0.013492611332561265
4.8500000000000005,0.008048,0.007890144579915322,0.02000665748084066
4.9,0.007648,0.007502450693247117,0.019400235030386945
4.95,0.007338,0.007133941554357592,0.028603885255797126
5.0,0.006998,0.006783654906304231,0.03159728739983101
5.050000000000001,0.006668,0.00645067799246451,0.03368979319528263
5.1000000000000005,0.006372,0.006134144892320261,0.038775593314974544
5.15,0.006042,0.005833234011742618,0.03578906449443388
5.2,0.005668,0.0055471657177956265,0.021783066948357157
5.25,0.005408,0.005275200108811737,0.025174379824270995
5.300000000000001,0.00513,0.005016634911165982,0.02259783517068206
5.3500000000000005,0.004906,0.004770803494793272,0.02833830933390521
5.4,0.00469,0.00453707300005998,0.033706091997637744
5.45,0.004512,0.004314842569121916,0.04569284457537141
